Protocol,Duration,Total Packets,Total Length,Packet Length Min,Packet Length Max,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Flow IAT Total,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Active Mean,Active Std,Idle Mean,Idle Std
3,0.1263429999999998,20,39074,66,2862,309269.21159067017,158.29923304021608,0.0066496315789473,0.0134620856078202,0.055741,0.0,0.1263429999999998,0,1,0,13,21,0,0,0,0.0078964374999999,0.0143865082164679,0.0,0.0
5,0.117647,7,10310,137,2862,87635.04381752187,59.500029750014846,0.0196078333333333,0.0093103431390398,0.0308239999999999,0.00817,0.117647,0,0,0,0,0,0,0,0,0.0196078333333333,0.0093103431390398,0.0,0.0
6,0.0,1,122,122,122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
0,0.0047379999999999,3,758,194,304,159983.11523850032,633.1785563529037,0.0023689999999999,0.0006505382386916,0.0028289999999999,0.0019089999999999,0.0047379999999999,0,0,0,0,0,0,0,0,0.0023689999999999,0.0006505382386916,0.0,0.0
3,0.208137,13,866,66,74,4160.721063530271,62.45886123082392,0.01734475,0.021806922566949,0.0635879999999999,2.0999999999826716e-05,0.208137,0,1,0,0,13,0,0,0,0.01734475,0.021806922566949,0.0,0.0
4,0.0,1,2162,2162,2162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
5,0.0550489999999999,5,1702,97,976,30917.909498810204,90.82817126559988,0.0137622499999999,0.0150637963646839,0.0311209999999999,0.000275,0.0550489999999999,0,0,0,0,0,0,0,0,0.0137622499999999,0.0150637963646839,0.0,0.0
6,0.0,1,76,76,76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
0,0.0029189999999998,3,282,90,102,96608.42754368285,1027.7492291881156,0.0014594999999999,0.0019791918805411,0.0028589999999999,5.999999999994898e-05,0.0029189999999998,0,0,0,0,0,0,0,0,0.0014594999999999,0.0019791918805411,0.0,0.0
3,0.000626,2,132,66,66,210862.6198083062,3194.88817891373,0.000626,0.0,0.000626,0.000626,0.000626,1,0,0,0,2,0,0,0,0.000626,0.0,0.0,0.0
4,0.0,1,90,90,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1,2.547049,4,432,90,114,169.60804444673033,1.5704448559882438,0.8490163333333334,0.5722172478983251,1.484565,0.374746,2.547049,0,0,0,0,0,0,0,0,0.8490163333333334,0.5722172478983251,0.0,0.0
2,2.656134,2,332,166,166,124.99369384225344,0.7529740592906833,2.656134,0.0,2.656134,2.656134,2.656134,0,0,0,0,0,0,0,0,2.656134,0.0,0.0,0.0
6,3.79673,46,4310,86,173,1135.1873849338772,12.11568902713651,0.0843717777777777,0.0866782776478337,0.3999380000000001,0.000761,3.79673,0,0,0,0,0,0,0,0,0.0843717777777777,0.0866782776478337,0.0,0.0
3,0.0,1,66,66,66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0
4,2.000000000002e-06,3,677,93,415,338499999.99966145,1499999.9999985,1.000000000001e-06,1.4142135623745097e-06,2.000000000002e-06,0.0,2.000000000002e-06,0,0,0,0,0,0,0,0,2.000000000002e-06,0.0,0.0,0.0
1,3.805938,17,2666,106,322,700.484348405045,4.4667043971814575,0.237871125,0.1597953078526296,0.45119,0.0472539999999996,3.805938,0,0,0,0,0,0,0,0,0.237871125,0.1597953078526296,0.0,0.0
2,2.65286,2,212,106,106,79.91375345853154,0.7539033345144486,2.65286,0.0,2.65286,2.65286,2.65286,0,0,0,0,0,0,0,0,2.65286,0.0,0.0,0.0
6,3.671384,85,17122,87,1049,4663.636383445589,23.15203204023333,0.0437069523809523,0.1012826934516306,0.6013250000000001,0.0,3.671384,0,0,0,0,0,0,0,0,0.0470690256410256,0.1043897423326882,0.0,0.0
